has-name	has-word	has-any-name	are-all-names	has-any-word	are-all-words	is-group-email	is-common-email-host	is-org-edu-tld	domain-in-id-or-id-in-domain	has-number-in-id	has-subdomins	sent	recvd	has-name-given	intercept	y
1	0	0	0	0	0	0	0	0	0	0	0	7.536363938404511	7.510977752014095	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	7.309212365692763	7.288927694521257	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	7.736743682453495	5.978885764901122	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	7.67693714581808	5.19295685089021	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	5.683579767338681	6.304448802421981	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	6.156978985585555	5.717027701406222	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	5.697093486505405	5.484796933490655	1	1	1
1	0	1	0	1	0	0	0	0	1	0	0	5.529429087511423	5.579729825986222	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	5.676753802268282	3.713572066704308	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	4.51085950651685	5.327876168789581	1	1	1
1	0	1	1	0	0	0	0	0	0	0	1	5.579729825986222	0.0	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	4.653960350157523	4.867534450455582	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	4.990432586778736	4.2626798770413155	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	4.948759890378168	4.060443010546419	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	5.225746673713202	0.0	0	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.8501476017100584	4.897839799950911	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4.442651256490317	4.382026634673881	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	4.3694478524670215	4.454347296253507	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	5.081404364984463	0.0	0	1	1
1	0	1	1	1	0	0	1	0	0	0	0	4.709530201312334	3.8066624897703196	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	4.356708826689592	4.127134385045092	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	4.90527477843843	0.0	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	4.584967478670572	3.6375861597263857	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	4.343805421853684	4.060443010546419	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4.795790545596741	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	4.0943445622221	4.30406509320417	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	4.61512051684126	3.332204510175204	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.8918202981106265	4.343805421853684	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4.499809670330265	3.4339872044851463	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	4.007333185232471	4.174387269895637	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	4.736198448394496	1.0986122886681098	1	1	1
1	0	1	0	0	0	0	0	0	1	0	0	4.343805421853684	3.58351893845611	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	4.110873864173311	3.9318256327243257	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4.430816798843313	3.1354942159291497	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	4.48863636973214	2.772588722239781	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.8066624897703196	4.060443010546419	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.8066624897703196	4.060443010546419	1	1	1
0	0	1	1	1	0	0	1	0	0	0	0	4.343805421853684	3.2188758248682006	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	4.110873864173311	3.6635616461296463	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.871201010907891	3.9318256327243257	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.912023005428146	3.8918202981106265	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	4.343805421853684	2.9444389791664403	1	1	1
1	0	0	0	0	0	0	1	0	0	1	0	4.5217885770490405	0.0	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.58351893845611	4.007333185232471	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5553480614894135	3.9889840465642745	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.784189633918261	3.7612001156935624	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	4.418840607796598	0.0	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	4.382026634673881	0.0	0	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.828641396489095	3.5553480614894135	1	1	1
1	0	1	0	0	0	0	1	0	0	1	0	3.9318256327243257	3.4011973816621555	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.5263605246161616	3.7376696182833684	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	3.7612001156935624	3.4657359027997265	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.7376696182833684	3.4965075614664802	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	4.143134726391533	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	4.02535169073515	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	4.248495242049359	1.3862943611198906	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	4.110873864173311	1	1	1
1	0	1	0	1	0	0	0	0	0	0	0	3.4011973816621555	3.7612001156935624	1	1	1
1	1	1	0	0	0	0	0	0	1	0	0	3.6635616461296463	3.5263605246161616	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	3.828641396489095	3.258096538021482	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.871201010907891	3.091042453358316	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.9889840465642745	2.70805020110221	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	3.5263605246161616	3.4965075614664802	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.6635616461296463	3.295836866004329	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.9512437185814275	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	0	1	0	0	0	3.6375861597263857	3.258096538021482	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5263605246161616	3.4011973816621555	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	4.127134385045092	0.0	0	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.8501476017100584	2.772588722239781	1	1	1
1	1	1	1	0	0	0	0	1	1	0	0	3.4011973816621555	3.4011973816621555	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.258096538021482	3.4965075614664802	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.332204510175204	3.4011973816621555	1	1	1
1	0	1	1	1	0	0	1	0	0	1	0	3.1354942159291497	3.5263605246161616	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.5553480614894135	3.044522437723423	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.7376696182833684	2.6390573296152584	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.6109179126442243	2.833213344056216	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.295836866004329	3.295836866004329	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.5649493574615367	3.6888794541139363	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	3.4657359027997265	3.044522437723423	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6109179126442243	2.772588722239781	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.5553480614894135	2.833213344056216	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.8066624897703196	1.791759469228055	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.912023005428146	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.912023005428146	0.0	0	1	1
1	0	1	0	0	0	0	0	0	0	0	0	0.0	3.912023005428146	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.70805020110221	3.5553480614894135	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6635616461296463	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.6888794541139363	2.302585092994046	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.4011973816621555	2.995732273553991	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.9444389791664403	3.4011973816621555	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5263605246161616	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.713572066704308	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.1354942159291497	3.1354942159291497	1	1	1
1	0	1	0	0	0	0	0	0	1	0	0	3.1354942159291497	3.1354942159291497	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.091042453358316	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	3.2188758248682006	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.2188758248682006	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.367295829986474	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	2.995732273553991	3.1354942159291497	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.9444389791664403	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.258096538021482	2.772588722239781	1	1	1
1	0	1	1	0	0	0	0	0	1	0	0	3.4339872044851463	2.302585092994046	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1354942159291497	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.5553480614894135	1.791759469228055	1	1	1
1	0	1	1	1	1	0	1	0	0	0	0	3.4339872044851463	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.4011973816621555	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	2.772588722239781	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.5263605246161616	1.791759469228055	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.833213344056216	3.1354942159291497	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.295836866004329	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.8903717578961645	3.044522437723423	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.5553480614894135	1.3862943611198906	1	1	1
1	0	1	0	0	0	0	1	0	1	0	0	3.5553480614894135	1.3862943611198906	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.2188758248682006	2.6390573296152584	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.4965075614664802	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.6109179126442243	0.0	0	1	1
1	0	0	0	0	0	0	1	0	0	1	0	3.6109179126442243	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.995732273553991	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	0	1	0	0	1	3.4339872044851463	1.791759469228055	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.1354942159291497	2.6390573296152584	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	3.1780538303479458	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1780538303479458	2.5649493574615367	1	1	1
1	0	0	0	0	0	0	0	1	1	0	0	3.5263605246161616	1.0986122886681098	1	1	1
0	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	2.8903717578961645	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.9444389791664403	2.8903717578961645	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.5553480614894135	0.6931471805599453	1	1	1
1	1	1	1	1	0	0	0	0	0	0	0	3.332204510175204	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.044522437723423	2.70805020110221	1	1	1
1	0	1	0	1	0	0	0	0	1	0	0	2.70805020110221	2.995732273553991	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	3.1780538303479458	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1780538303479458	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1354942159291497	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.8903717578961645	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.1780538303479458	2.302585092994046	1	1	1
1	1	0	0	0	0	0	0	0	0	0	1	0.0	3.4965075614664802	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.995732273553991	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.833213344056216	2.70805020110221	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.4011973816621555	0.6931471805599453	1	1	1
1	0	1	0	0	0	0	1	0	0	1	0	2.5649493574615367	2.9444389791664403	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.091042453358316	2.302585092994046	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.4011973816621555	0.0	0	1	1
1	0	0	0	0	0	0	0	0	0	0	1	3.4011973816621555	0.0	1	1	1
0	0	1	0	0	0	0	0	0	0	0	0	3.091042453358316	2.1972245773362196	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.3978952727983707	2.995732273553991	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.772588722239781	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.2188758248682006	1.6094379124341003	1	1	1
0	0	1	1	0	0	0	0	1	0	0	0	2.8903717578961645	2.4849066497880004	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	3.044522437723423	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.833213344056216	2.5649493574615367	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.772588722239781	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	0	0	0	0	1	2.70805020110221	2.6390573296152584	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	0	0	0	0	0	0	0	1	0	0	0.0	3.332204510175204	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.1780538303479458	1.6094379124341003	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.70805020110221	2.6390573296152584	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.4849066497880004	2.833213344056216	1	1	1
1	0	1	0	0	0	0	0	0	1	0	0	3.258096538021482	0.6931471805599453	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.4849066497880004	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.258096538021482	0.0	0	1	1
1	0	0	0	0	0	0	0	0	0	0	0	3.258096538021482	0.0	1	1	1
0	0	1	1	1	0	0	1	0	0	1	0	2.6390573296152584	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.6390573296152584	2.5649493574615367	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.0794415416798357	2.9444389791664403	1	1	1
1	0	0	0	0	0	0	1	0	0	1	0	3.2188758248682006	0.0	0	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.70805020110221	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.1972245773362196	2.833213344056216	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.995732273553991	1.791759469228055	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.833213344056216	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	0	1	0	0	0	3.2188758248682006	0.0	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	3.044522437723423	1.6094379124341003	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	1.9459101490553132	2.8903717578961645	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.1972245773362196	2.772588722239781	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.8903717578961645	1.9459101490553132	1	1	1
1	0	1	1	0	0	0	1	0	0	1	0	2.772588722239781	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.6390573296152584	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.9444389791664403	1.791759469228055	0	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.3862943611198906	1	1	1
1	1	1	0	0	0	0	0	0	0	0	0	2.772588722239781	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	1	2.4849066497880004	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	2.5649493574615367	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.044522437723423	1.0986122886681098	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.8903717578961645	1.791759469228055	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.6390573296152584	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.6390573296152584	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	3.1354942159291497	0.0	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	2.1972245773362196	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	2.0794415416798357	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.70805020110221	2.1972245773362196	1	1	1
1	0	0	0	0	0	0	1	0	0	0	0	3.044522437723423	1.0986122886681098	1	1	1
1	0	0	0	0	0	0	0	0	0	0	0	2.8903717578961645	1.6094379124341003	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.1972245773362196	1	1	1
1	1	0	0	0	0	0	0	0	0	0	0	3.091042453358316	0.0	0	1	1
1	1	1	1	1	0	0	0	0	0	0	0	2.5649493574615367	2.302585092994046	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	2.3978952727983707	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	3.091042453358316	0.0	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.1972245773362196	2.6390573296152584	1	1	1
0	0	1	1	0	0	0	1	0	0	0	0	2.9444389791664403	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.4849066497880004	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	2.0794415416798357	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.4849066497880004	2.302585092994046	1	1	1
1	0	1	1	1	0	0	1	0	0	0	0	2.1972245773362196	2.5649493574615367	1	1	1
1	0	1	0	1	0	0	1	0	0	0	0	2.6390573296152584	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.3978952727983707	1	1	1
1	1	1	1	0	0	0	0	0	0	0	0	2.772588722239781	1.791759469228055	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.70805020110221	1.9459101490553132	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.3978952727983707	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	1	0	0	1	0	2.8903717578961645	1.0986122886681098	1	1	1
1	0	0	0	1	0	0	1	0	1	0	0	2.995732273553991	0.0	0	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.1972245773362196	2.4849066497880004	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.5649493574615367	2.0794415416798357	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	2.6390573296152584	1.9459101490553132	1	1	1
1	0	1	1	1	0	0	0	0	0	0	0	2.9444389791664403	0.6931471805599453	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.302585092994046	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.3978952727983707	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.772588722239781	1.3862943611198906	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.0794415416798357	2.4849066497880004	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.6390573296152584	1.791759469228055	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	0.0	0	1	1
1	0	1	1	0	0	0	1	0	0	0	0	2.302585092994046	2.302585092994046	1	1	1
1	0	1	1	0	0	0	0	0	0	0	0	2.3978952727983707	2.1972245773362196	1	1	1
1	0	1	0	0	0	0	1	0	0	0	0	2.9444389791664403	0.0	0	1	1
